time,value
2024-07-16T00:50:14.222088155Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:15.232483073Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:16.24256753Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:17.271880356Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:18.281606731Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:19.301698779Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:20.31209928Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:21.332338805Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:22.349948154Z,{"lat":10.834503104525664,"lon":106.76694992098058}
2024-07-16T00:50:23.362135422Z,{"lat":10.834804320288718,"lon":106.76669964490411}
2024-07-16T00:50:24.375730814Z,{"lat":10.83483061986435,"lon":106.76667367521594}
2024-07-16T00:50:25.397444898Z,{"lat":10.834849725275864,"lon":106.76665901051213}
2024-07-16T00:50:26.385141984Z,{"lat":10.834861723326432,"lon":106.76665260276843}
2024-07-16T00:50:27.422104408Z,{"lat":10.834872980721128,"lon":106.76664164621519}
2024-07-16T00:50:28.417282275Z,{"lat":10.834886960084297,"lon":106.76662509751196}
2024-07-16T00:50:29.45718248Z,{"lat":10.834903172562566,"lon":106.76661320912903}
2024-07-16T00:50:30.447355401Z,{"lat":10.834914146175393,"lon":106.76660416322451}
2024-07-16T00:50:31.481912022Z,{"lat":10.834926238659548,"lon":106.76659914986456}
2024-07-16T00:50:32.485267798Z,{"lat":10.83493515580426,"lon":106.76659424797667}
2024-07-16T00:50:33.511988662Z,{"lat":10.834946254145883,"lon":106.76658372756903}
2024-07-16T00:50:34.532002536Z,{"lat":10.834954162211313,"lon":106.76657282337517}
2024-07-16T00:50:35.547319668Z,{"lat":10.834965157617013,"lon":106.76656792021411}
2024-07-16T00:50:36.562304085Z,{"lat":10.834989117140841,"lon":106.76655165235488}
2024-07-16T00:50:37.572060023Z,{"lat":10.835003039852744,"lon":106.76653890529035}
2024-07-16T00:50:38.595223443Z,{"lat":10.835011303707088,"lon":106.76652735392626}
2024-07-16T00:50:39.602339223Z,{"lat":10.835015056384602,"lon":106.76651973947112}
